SKU,Description,Cost
SSA0F61320,SP E31241v3                            ,
000000C64527,SP E31245v3                            ,
SSA0F61323,SP E31246v3                            ,
000000C64530,SP E31270v3                            ,
SSA0F61319,SP E31271v3                            ,
000000C64526,SP E31275v3                            ,
SSA0F61322,SP E31276v3                            ,
000000C64529,SP E31280v3                            ,
SSA0F61318,SP E3-1281v3,
SSA0F61381,SP E31281v3                            ,
000000C64525,SP E31285v3                            ,
SSA0F61376,SP E51603v3                            ,
000000C62665,SP E51607v2                            ,
SSA0F61375,SP E51607v3                            ,
000000C62664,SP E51620v2                            ,
SSA0F61370,SP E51620v3                            ,
SSA0F61371,SP E51630v3                            ,
000000C62663,SP E51650v2                            ,
SSA0F61372,SP E51650v3                            ,
000000C62662,SP E51660v2                            ,
SSA0F61374,SP E51660v3                            ,
SSA0D93096,SP E51680v2                            ,
SSA0F61373,SP E51680v3                            ,
000000C62660,SP E52403v2                            ,
000000C62659,SP E52407v2                            ,
000000C62658,SP E52420v2                            ,
000000C62657,SP E52430Lv2                           ,
000000C62656,SP E52430v2                            ,
000000C62655,SP E52440v2                            ,
000000C62653,SP E52450Lv2                           ,
000000C62654,SP E52450v2                            ,
000000C62652,SP E52470v2                            ,
000000C62651,SP E52603v2                            ,
SSA0F61362,SP E52603v3                            ,
000000C62650,SP E52609v2                            ,
SSA0F61363,SP E52609v3                            ,
000000C62647,SP E52620v2                            ,
SSA0F61368,SP E52620v3                            ,
SSA0F61367,SP E52623v3                            ,
000000C62648,SP E52630Lv2                           ,
SSA0F61364,SP E52630Lv3                           ,
000000C62646,SP E52630v2                            ,
SSA0F61365,SP E52630v3                            ,
000000C62649,SP E52637v2                            ,
SSA0F61360,SP E52637v3                            ,
000000C62644,SP E52640v2                            ,
SSA0F61366,SP E52640v3                            ,
000000C62645,SP E52643v2                            ,
SSA0F61361,SP E52643v3                            ,
000000C62641,SP E52650Lv2                           ,
SSA0F61357,SP E52650Lv3                           ,
000000C62643,SP E52650v2                            ,
SSA0F61352,SP E52650v3                            ,
000000C62640,SP E52660v2                            ,
SSA0F61353,SP E52660v3                            ,
000000C62642,SP E52667v2                            ,
